county_to,year,migration_in90p,migration_in,migration_in1,migration_in2,migration_in3,migShare1,migShare2,migShare3,migShare90p,state_to
1,2016,1334097,1352856,348,2406,1350102,.025723359,.17784598,99.796432,98.61338,6
3,2016,603,603,,,603,,,100,100,6
5,2016,400,27281,,,27281,,,100,1.4662219,6
7,2016,2043,155667,341,150858,4468,.21905735,96.910713,2.8702295,1.3124169,6
9,2016,518,33187,,,33187,,,100,1.5608522,6
11,2016,75,21262,,51,21211,,.23986454,99.760132,.35274199,6
13,2016,961532,972217,63,1078,971076,.0064800349,.1108806,99.882637,98.900963,6
15,2016,,16166,15942,81,143,98.614372,.5010516,.88457257,,6
17,2016,148192,152982,,106,152876,,.0692892,99.93071,96.868912,6
19,2016,4782,771225,,5570,765655,,.72222763,99.277771,.62005252,6
21,2016,,23797,136,23584,77,.5715006,99.104927,.32357019,,6
23,2016,1147,90219,155,88012,2052,.17180416,97.553734,2.2744656,1.2713509,6
25,2016,1097,165598,,162043,3555,,97.853233,2.146765,.66244763,6
27,2016,83,13715,,13344,371,,97.29493,2.7050674,.60517681,6
29,2016,4413,687921,99,2071,685751,.014391188,.301052,99.684555,.64149809,6
31,2016,892,111652,61,717,110874,.054634042,.64217389,99.303192,.79891092,6
33,2016,1136,41991,,40741,1250,,97.02317,2.9768283,2.7053416,6
35,2016,,17057,,202,16855,,1.1842645,98.815735,,6
37,2016,86243,8019959,2412,13973,8003574,.030074967,.17422782,99.7957,1.0753546,6
39,2016,813,123560,,119738,3822,,96.906769,3.0932341,.65797991,6
41,2016,217777,219283,,137,219146,,.062476344,99.937523,99.313217,6
43,2016,,12077,,170,11907,,1.4076344,98.592369,,6
45,2016,1095,65865,,64535,1330,,97.980721,2.0192819,1.6624914,6
47,2016,3817,213669,,205954,7715,,96.389275,3.6107249,1.7864079,6
49,2016,,5735,5663,72,,98.744553,1.2554491,,,6
51,2016,120,10532,,115,10417,,1.0919104,98.908089,1.1393847,6
53,2016,393566,398223,64,1119,397040,.016071398,.28099835,99.702927,98.830551,6
55,2016,123972,124886,,160,124726,,.12811685,99.87188,99.268135,6
57,2016,2464,79223,,107,79116,,.13506179,99.864937,3.1102078,6
59,2016,2633952,2703762,430,3330,2700002,.015903767,.12316173,99.860931,97.418045,6
61,2016,307116,320877,,618,320259,,.19259717,99.807404,95.711441,6
63,2016,25,13697,,13456,241,,98.240494,1.7595093,.18252172,6
65,2016,39457,1864338,379,4291,1859668,.020328932,.23016213,99.749512,2.1164081,6
67,2016,27678,1197993,360,3049,1194584,.030050259,.254509,99.715439,2.310364,6
69,2016,53479,53725,,146,53579,,.27175429,99.728249,99.542114,6
71,2016,14735,1690495,484,3414,1686597,.028630666,.20195268,99.769417,.87163818,6
73,2016,2663835,2725272,1496,12138,2711638,.054893602,.44538674,99.499718,97.745659,6
75,2016,661118,672616,440,1730,670446,.065416224,.25720471,99.677376,98.290558,6
77,2016,16876,599448,,648,598800,,.10809945,99.891899,2.8152566,6
79,2016,4379,218678,,674,218004,,.30821574,99.691788,2.0024877,6
81,2016,659691,666124,81,638,665405,.012159898,.095777966,99.892059,99.034264,6
83,2016,359615,365573,,302,365271,,.082610041,99.917389,98.370232,6
85,2016,1651681,1671307,360,3049,1667898,.021540029,.18243207,99.796028,98.825706,6
87,2016,224557,226387,,309,226078,,.13649194,99.86351,99.19165,6
89,2016,1587,130275,1033,126484,2758,.79293799,97.090004,2.1170599,1.2181923,6
91,2016,,1899,,,1899,,,100,,6
93,2016,167,31428,30670,405,353,97.588135,1.2886598,1.1232022,.53137332,6
95,2016,353809,359260,,428,358832,,.11913378,99.880867,98.482712,6
97,2016,415622,419632,,1405,418227,,.33481717,99.665184,99.044403,6
99,2016,7205,436904,,2420,434484,,.55389744,99.446106,1.6491036,6
101,2016,464,78092,,336,77756,,.43026173,99.56974,.59417099,6
103,2016,286,45707,44090,1189,428,96.46225,2.601352,.93639922,.62572473,6
105,2016,,7298,,7298,,,100,,,6
107,2016,1563,372935,,364604,8331,,97.766098,2.2339013,.41910788,6
109,2016,518,38549,,68,38481,,.17639887,99.823601,1.3437443,6
111,2016,731937,747777,85,558,747134,.011367025,.074621178,99.914009,97.881721,6
113,2016,3257,158198,,187,158011,,.1182063,99.88179,2.0588124,6
115,2016,970,54964,,263,54701,,.478495,99.521507,1.7647915,6
