GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GMY001
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Autauga County",42013
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Baldwin County",40250
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Barbour County",25101
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bibb County",31420
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blount County",35241
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bullock County",20605
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler County",24791
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,,"Calhoun County",31768
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chambers County",29667
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cherokee County",30874
"G0100210","2000","3","6","Alabama","01","Chilton","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chilton County",32588
"G0100230","2000","3","6","Alabama","01","Choctaw","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Choctaw County",24749
"G0100250","2000","3","6","Alabama","01","Clarke","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clarke County",27388
"G0100270","2000","3","6","Alabama","01","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",27885
"G0100290","2000","3","6","Alabama","01","Cleburne","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleburne County",30820
"G0100310","2000","3","6","Alabama","01","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee County",33664
"G0100330","2000","3","6","Alabama","01","Colbert","033",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Colbert County",31954
"G0100350","2000","3","6","Alabama","01","Conecuh","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Conecuh County",22111
"G0100370","2000","3","6","Alabama","01","Coosa","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coosa County",29873
"G0100390","2000","3","6","Alabama","01","Covington","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Covington County",26336
"G0100410","2000","3","6","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crenshaw County",26054
"G0100430","2000","3","6","Alabama","01","Cullman","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cullman County",32256
"G0100450","2000","3","6","Alabama","01","Dale","045",,,,,,,,,,,,,"2180","9999","9999",,,,,,,,"Dale County",31998
"G0100470","2000","3","6","Alabama","01","Dallas","047",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dallas County",23370
"G0100490","2000","3","6","Alabama","01","DeKalb","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"DeKalb County",30137
"G0100510","2000","3","6","Alabama","01","Elmore","051",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Elmore County",41243
"G0100530","2000","3","6","Alabama","01","Escambia","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Escambia County",28319
"G0100550","2000","3","6","Alabama","01","Etowah","055",,,,,,,,,,,,,"2880","9999","9999",,,,,,,,"Etowah County",31170
"G0100570","2000","3","6","Alabama","01","Fayette","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Fayette County",28539
"G0100590","2000","3","6","Alabama","01","Franklin","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Franklin County",27177
"G0100610","2000","3","6","Alabama","01","Geneva","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Geneva County",26448
"G0100630","2000","3","6","Alabama","01","Greene","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Greene County",19819
"G0100650","2000","3","6","Alabama","01","Hale","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hale County",25807
"G0100670","2000","3","6","Alabama","01","Henry","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Henry County",30353
